QsdaVersion,MetaId,Name,NoOfRows,NoOfFields,KeyCount,NonKeyUseCount,IsIsland,IsDirectDiscovery,Comment,IsSynthetic,IsLoose,RowPointerBits,TotalBytes
3.4.5,3259,ApplicationWaterfall,10,2,0,79,True,False,,False,False,8,10
3.4.5,3260,ApplicationWaterfall_FeeLeakage,9,2,0,20,True,False,,False,False,8,9
3.4.5,3261,ApplicationWaterfallShort,7,2,0,57,True,False,,False,False,6,6
3.4.5,3269,Closer Calendar,1038,15,1,0,False,False,,False,False,90,11678
3.4.5,3270,Closer Interval,3803,2,1,0,False,False,,False,False,16,7606
3.4.5,3250,ClosingProjDims,9,1,0,1,True,False,,False,False,4,5
3.4.5,3263,Coheus_Input,16823,1049,4,7244,False,False,,False,False,3586,7540910
3.4.5,3262,CommonCalendar,3574,26,1,890,False,False,,False,False,60,26805
3.4.5,3255,ConfigurationData,1,1,0,0,True,False,,False,False,1,1
3.4.5,3256,CreditRanges,3,3,0,18,True,False,,False,False,4,2
3.4.5,3271,Date Calendar,3574,15,1,0,False,False,,False,False,105,46909
3.4.5,3272,Date Interval,5457,2,1,22,False,False,,False,False,17,11597
3.4.5,3264,DateLink,168230,4,3,1073,False,False,,False,False,43,904237
3.4.5,3257,FunnelStages,10,2,0,20,True,False,,False,False,8,10
3.4.5,3258,FunnelStagesShort,5,2,0,0,True,False,,False,False,6,4
3.4.5,3247,KPI_ClosingProjections,6,2,0,0,True,False,,False,False,6,5
3.4.5,3252,KPI_TimeRange,3,1,0,0,True,False,,False,False,2,1
3.4.5,3251,NewOpportunityDimensions,12,1,0,0,True,False,,False,False,4,6
3.4.5,3265,Processor Calendar,1108,15,1,0,False,False,,False,False,90,12465
3.4.5,3266,Processor Interval,3868,2,1,0,False,False,,False,False,16,7736
3.4.5,3254,RevenueFields,4,1,0,0,True,False,,False,False,2,1
3.4.5,3248,ScorecardActors,21,1,0,0,True,False,,False,False,5,14
3.4.5,3249,ScorecardCalcs,3,1,0,7,True,False,,False,False,2,1
3.4.5,3253,SourceList,1,9,0,0,True,False,,False,False,9,2
3.4.5,3246,TurnTimeList,5,1,0,0,True,False,,False,False,3,2
3.4.5,3267,Underwriter Calendar,1141,15,1,0,False,False,,False,False,90,12837
3.4.5,3268,Underwriter Interval,4020,2,1,4,False,False,,False,False,16,8040
3.4.5,3245,VariableRepository,390,7,0,0,True,False,,False,False,24,1170
